participantID,trialNumber,response,correctness,startTimestamp,endTimestamp,reactionTime,sampleNumber,sampleOrder,sampleTime,comparisonTime,condition
2,64,right,True,2024-06-24 14:18:19.117,2024-06-24 14:18:30.194,11.077,40,right,12000,24000,V
2,65,right,False,2024-06-24 14:18:52.266,2024-06-24 14:19:11.444,19.178,84,left,12000,24000,V
2,66,right,False,2024-06-24 14:19:33.513,2024-06-24 14:19:46.827,13.314,64,left,12000,24000,V
2,67,right,True,2024-06-24 14:20:08.897,2024-06-24 14:20:28.460,19.563,86,right,12000,24000,V
2,68,right,False,2024-06-24 14:20:50.515,2024-06-24 14:21:17.194,26.679,62,left,12000,24000,V
2,69,right,False,2024-06-24 14:21:39.249,2024-06-24 14:21:59.594,20.345,18,left,12000,24000,V
2,70,left,False,2024-06-24 14:22:21.647,2024-06-24 14:22:41.077,19.43,8,right,12000,24000,V
2,71,left,True,2024-06-24 14:23:03.132,2024-06-24 14:23:24.111,20.979,16,left,12000,24000,V
2,72,left,True,2024-06-24 14:23:46.164,2024-06-24 14:24:01.677,15.513,96,left,12000,24000,V
2,73,right,True,2024-06-24 14:31:12.153,2024-06-24 14:31:26.078,13.925,89,right,12000,24000,VH
2,74,left,True,2024-06-24 14:31:48.164,2024-06-24 14:32:10.745,22.581,49,left,12000,24000,VH
2,75,right,False,2024-06-24 14:32:32.832,2024-06-24 14:32:54.028,21.196,17,left,12000,24000,VH
2,76,right,True,2024-06-24 14:33:16.116,2024-06-24 14:33:24.911,8.795,41,right,12000,24000,VH
2,77,left,True,2024-06-24 14:33:47.000,2024-06-24 14:33:55.028,8.028,35,left,12000,24000,VH
2,78,right,True,2024-06-24 14:34:17.115,2024-06-24 14:34:30.345,13.23,3,right,12000,24000,VH
2,79,left,True,2024-06-24 14:34:52.432,2024-06-24 14:35:09.461,17.029,93,left,12000,24000,VH
2,80,right,True,2024-06-24 14:35:31.532,2024-06-24 14:35:43.511,11.979,53,right,12000,24000,VH
2,81,right,True,2024-06-24 14:36:05.598,2024-06-24 14:36:11.195,5.597,57,right,12000,24000,VH
2,82,left,True,2024-06-24 14:36:33.284,2024-06-24 14:36:42.778,9.494,31,left,12000,24000,VH
2,83,left,True,2024-06-24 14:37:04.849,2024-06-24 14:37:16.061,11.212,1,left,12000,24000,VH
2,84,right,True,2024-06-24 14:37:38.147,2024-06-24 14:37:53.128,14.981,61,right,12000,24000,VH
2,85,right,False,2024-06-24 14:38:15.198,2024-06-24 14:38:23.095,7.897,90,left,12000,24000,V
2,86,right,True,2024-06-24 14:38:45.166,2024-06-24 14:38:57.145,11.979,4,right,12000,24000,V
2,87,left,True,2024-06-24 14:39:19.215,2024-06-24 14:39:32.012,12.797,88,left,12000,24000,V
2,88,right,True,2024-06-24 14:39:54.067,2024-06-24 14:40:03.928,9.861,28,right,12000,24000,V
2,89,left,False,2024-06-24 14:40:25.983,2024-06-24 14:40:43.045,17.062,10,right,12000,24000,V
2,90,left,True,2024-06-24 14:41:05.099,2024-06-24 14:41:16.312,11.213,50,left,12000,24000,V
2,91,left,False,2024-06-24 14:41:38.382,2024-06-24 14:42:02.812,24.43,2,right,12000,24000,V
2,92,right,True,2024-06-24 14:42:24.866,2024-06-24 14:42:31.429,6.563,42,right,12000,24000,V
2,93,right,False,2024-06-24 14:42:53.498,2024-06-24 14:42:57.929,4.431,68,left,12000,24000,V
2,94,right,True,2024-06-24 14:43:19.999,2024-06-24 14:43:35.179,15.18,94,right,12000,24000,V
2,95,right,True,2024-06-24 14:43:57.231,2024-06-24 14:44:14.045,16.814,72,right,12000,24000,V
2,96,right,True,2024-06-24 14:44:36.118,2024-06-24 14:44:47.545,11.427,36,right,12000,24000,V
3,1,left,False,2024-06-24 15:12:49.439,2024-06-24 15:13:07.914,18.475,56,right,12000,24000,VH
3,2,left,True,2024-06-24 15:13:29.999,2024-06-24 15:13:36.180,6.181,66,left,12000,24000,VH
3,3,left,True,2024-06-24 15:13:58.268,2024-06-24 15:14:13.147,14.879,4,left,12000,24000,VH
3,4,left,False,2024-06-24 15:14:35.235,2024-06-24 15:14:50.630,15.395,26,right,12000,24000,VH
3,5,left,True,2024-06-24 15:15:12.719,2024-06-24 15:15:22.397,9.678,78,left,12000,24000,VH
3,6,right,True,2024-06-24 15:15:44.484,2024-06-24 15:15:54.130,9.646,74,right,12000,24000,VH
3,7,left,True,2024-06-24 15:16:16.216,2024-06-24 15:16:27.214,10.998,72,left,12000,24000,VH
3,8,left,True,2024-06-24 15:16:49.303,2024-06-24 15:17:05.697,16.394,76,left,12000,24000,VH
3,9,right,True,2024-06-24 15:17:27.784,2024-06-24 15:17:39.931,12.147,70,right,12000,24000,VH
3,10,right,True,2024-06-24 15:18:02.020,2024-06-24 15:18:15.097,13.077,36,right,12000,24000,VH
3,11,left,True,2024-06-24 15:18:37.186,2024-06-24 15:18:55.197,18.011,48,left,12000,24000,VH
3,12,left,False,2024-06-24 15:19:17.284,2024-06-24 15:19:41.647,24.363,12,right,12000,24000,VH
3,13,right,True,2024-06-24 15:20:03.717,2024-06-24 15:20:16.664,12.947,11,right,12000,24000,V
3,14,left,True,2024-06-24 15:20:38.734,2024-06-24 15:20:48.831,10.097,77,left,12000,24000,V
3,15,right,True,2024-06-24 15:21:10.903,2024-06-24 15:21:21.164,10.261,35,right,12000,24000,V
3,16,right,True,2024-06-24 15:21:43.236,2024-06-24 15:21:58.931,15.695,3,right,12000,24000,V
3,17,right,False,2024-06-24 15:22:21.002,2024-06-24 15:22:44.498,23.496,75,left,12000,24000,V
3,18,right,True,2024-06-24 15:23:06.566,2024-06-24 15:23:15.714,9.148,49,right,12000,24000,V
3,19,right,True,2024-06-24 15:23:37.786,2024-06-24 15:23:49.131,11.345,19,right,12000,24000,V
3,20,left,True,2024-06-24 15:24:11.201,2024-06-24 15:24:22.731,11.53,9,left,12000,24000,V
3,21,right,True,2024-06-24 15:24:44.787,2024-06-24 15:24:57.065,12.278,41,right,12000,24000,V
3,22,right,True,2024-06-24 15:25:19.136,2024-06-24 15:25:31.498,12.362,47,right,12000,24000,V
3,23,left,True,2024-06-24 15:25:53.567,2024-06-24 15:26:11.515,17.948,55,left,12000,24000,V
3,24,right,True,2024-06-24 15:26:33.584,2024-06-24 15:26:48.231,14.647,85,right,12000,24000,V
3,25,left,True,2024-06-24 15:38:24.936,2024-06-24 15:38:32.232,7.296,8,left,12000,24000,VH
3,26,left,True,2024-06-24 15:38:54.319,2024-06-24 15:39:02.282,7.963,2,left,12000,24000,VH
3,27,right,True,2024-06-24 15:39:24.369,2024-06-24 15:39:32.316,7.947,80,right,12000,24000,VH
3,28,left,True,2024-06-24 15:39:54.388,2024-06-24 15:40:03.915,9.527,28,left,12000,24000,VH
3,29,left,True,2024-06-24 15:40:26.004,2024-06-24 15:40:34.466,8.462,24,left,12000,24000,VH
3,30,right,True,2024-06-24 15:40:56.553,2024-06-24 15:41:20.416,23.863,92,right,12000,24000,VH
3,31,left,True,2024-06-24 15:41:42.503,2024-06-24 15:41:58.582,16.079,86,left,12000,24000,VH
3,32,left,True,2024-06-24 15:42:20.652,2024-06-24 15:42:29.782,9.13,64,left,12000,24000,VH
3,33,right,True,2024-06-24 15:42:51.868,2024-06-24 15:43:08.532,16.664,54,right,12000,24000,VH
3,34,left,True,2024-06-24 15:43:30.620,2024-06-24 15:43:37.732,7.112,18,left,12000,24000,VH
3,35,right,True,2024-06-24 15:43:59.819,2024-06-24 15:44:15.932,16.113,60,right,12000,24000,VH
3,36,right,False,2024-06-24 15:44:38.021,2024-06-24 15:44:55.149,17.128,38,left,12000,24000,VH
3,37,left,True,2024-06-24 15:45:17.218,2024-06-24 15:45:28.849,11.631,51,left,12000,24000,V
